intervention,density_scope,density_bin,malware_to_benign_rate_mean,flip_rate_mean,delta_auc_mean,auc_mean,n_rows,n_seeds,source_results_dir
Important,pooled,all,0.3081183333333334,0.31059166666666665,-0.08538251881423606,0.8440636297309027,5,5,block3_probe_lightgbm_imports_parallel_merged
Important,density_restricted,high_density,0.1653224585169933,0.16734126841452143,-0.03554965983280363,0.8145949680198881,5,5,block3_probe_lightgbm_imports_parallel_merged
Important,density_restricted,mid_density,0.3861070702708035,0.3882141690804824,-0.08104791114817493,0.8817781775015583,5,5,block3_probe_lightgbm_imports_parallel_merged
Important,density_restricted,low_density,0.40956150535662433,0.41630820953739356,-0.054925919352986054,0.8608235043956233,5,5,block3_probe_lightgbm_imports_parallel_merged
Random,pooled,all,0.03743991666666666,0.068162375,-0.007049634294791592,0.9223965142503472,100,5,block3_probe_lightgbm_imports_random_parallel_merged
Random,density_restricted,high_density,0.0167083640390322,0.08498407193212171,0.002525088682838975,0.8526697165355307,100,5,block3_probe_lightgbm_imports_random_parallel_merged
Random,density_restricted,mid_density,0.045164566192304224,0.05303344415457233,-0.009752091772024636,0.9530739968777086,100,5,block3_probe_lightgbm_imports_random_parallel_merged
Random,density_restricted,low_density,0.06241654474917404,0.07703542151276305,-0.006438093235170894,0.9093113305134386,100,5,block3_probe_lightgbm_imports_random_parallel_merged
