seed,scope,feature_group,metric,mean,std,min,max
13,metric,header,acc,0.9332520833333334,0.010081663730574874,0.916825,0.948275
13,metric,header,f1,0.9310364799661462,0.0110007445042552,0.9120376490495201,0.9471128038649319
13,metric,header,auc,0.9835936477083332,0.00420614780333776,0.976515865,0.98962385875
13,metric,header,positive_rate,0.4692020833333334,0.010286871985353739,0.445575,0.483825
13,metric,header,score_std,0.4377842635632536,0.009039004285438024,0.4265295560484857,0.45435570656560814
13,metric,header,degenerate_prediction,0.0,0.0,0.0,0.0
13,metric,header,mix_at_k,0.08152176215277777,0.013267141690725225,0.055815,0.1034425
13,metric,header,silhouette,0.11698241866336219,0.038742455913964045,0.06832454133074779,0.1990746682013069
13,metric,header,js_divergence,0.0817729430230255,0.012599051329152981,0.061188087026957175,0.10080397314125852
13,rank,header,auc_rank,3.0,0.0,3.0,3.0
13,rank,header,acc_rank,3.0,0.0,3.0,3.0
13,rank,header,mix_at_k_rank,2.0833333333333335,0.7021791477646965,1.0,3.0
13,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
13,rank,header,js_divergence_rank,2.8333333333333335,0.3726779962499649,2.0,3.0
13,metric,section,acc,0.9441041666666666,0.00834163648845689,0.93215,0.9559
13,metric,section,f1,0.9426750395487922,0.008706322097134874,0.92961253177032,0.9549540347293156
13,metric,section,auc,0.9892054492708334,0.0028452927271596863,0.9843860625,0.9931251887499999
13,metric,section,positive_rate,0.4754791666666667,0.005706281565569261,0.46395,0.48375
13,metric,section,score_std,0.4373055694634685,0.008992737895920108,0.42588925184875337,0.4530932505301881
13,metric,section,degenerate_prediction,0.0,0.0,0.0,0.0
13,metric,section,mix_at_k,0.08270232638888889,0.014008088625981996,0.05638,0.10571125
13,metric,section,silhouette,0.07366394548617498,0.018069213472115174,0.05236187826692238,0.11661282082280176
13,metric,section,js_divergence,0.12138844311513856,0.039610824881072045,0.06397049816122019,0.2168778254599622
13,rank,section,auc_rank,2.0,0.0,2.0,2.0
13,rank,section,acc_rank,2.0,0.0,2.0,2.0
13,rank,section,mix_at_k_rank,2.625,0.5253966755382705,1.0,3.0
13,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
13,rank,section,js_divergence_rank,1.3333333333333333,0.7453559924999298,1.0,3.0
13,metric,imports,acc,0.8716333333333331,0.016227783959069153,0.840125,0.894525
13,metric,imports,f1,0.8575477592974341,0.02115589137084129,0.8160506256292248,0.8857413676371022
13,metric,imports,auc,0.9338088693750001,0.00915345975768562,0.914607805,0.9446460050000001
13,metric,imports,positive_rate,0.40378749999999997,0.018605752078770337,0.369125,0.4252
13,metric,imports,score_std,0.3648376079645786,0.00789150385239525,0.3484831904093035,0.37801899997631216
13,metric,imports,degenerate_prediction,0.0,0.0,0.0,0.0
13,metric,imports,mix_at_k,0.16920041666666666,0.01841596957226142,0.11158,0.20098625
13,metric,imports,silhouette,0.03553040828140783,0.015894725534401157,0.021411324005986707,0.07666906488051152
13,metric,imports,js_divergence,0.03713624851459809,0.007949109379065847,0.02421196264680528,0.05281725352870709
13,rank,imports,auc_rank,5.0,0.0,5.0,5.0
13,rank,imports,acc_rank,5.0,0.0,5.0,5.0
13,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
13,rank,imports,silhouette_rank,4.666666666666667,0.6236095644623235,3.0,5.0
13,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
13,metric,strings,acc,0.91473125,0.011550401891456723,0.89625,0.934
13,metric,strings,f1,0.9116857323713617,0.012290949549170099,0.8912245753826799,0.931867451223289
13,metric,strings,auc,0.9766175780208334,0.005761938265059418,0.96899012375,0.9867076850000001
