mix_k,scope,feature_group,metric,mean,std,min,max
5,metric,header,acc,0.9319416666666669,0.010960545404109942,0.9104,0.94845
5,metric,header,f1,0.9295570691099054,0.012012854869296938,0.9044521460943749,0.9473845368716509
5,metric,header,auc,0.9836406489791668,0.00441244334064355,0.9751240375,0.9901241125000001
5,metric,header,positive_rate,0.46772,0.01116606167515357,0.43775,0.483975
5,metric,header,score_std,0.4379220616231846,0.009117396114440634,0.42569453768473947,0.4548127906076244
5,metric,header,degenerate_prediction,0.0,0.0,0.0,0.0
5,metric,header,mix_at_k,0.06322141666666667,0.004413967800409918,0.054025,0.070665
5,metric,header,silhouette,0.11739159981168841,0.038990244048629476,0.06832454133074779,0.20279649232774138
5,metric,header,js_divergence,0.08158102838046158,0.01262034812097472,0.06035469125537132,0.10080397314125852
5,rank,header,auc_rank,3.0,0.0,3.0,3.0
5,rank,header,acc_rank,3.0,0.0,3.0,3.0
5,rank,header,mix_at_k_rank,2.5166666666666666,0.5320296566504122,1.0,3.0
5,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
5,rank,header,js_divergence_rank,2.85,0.3570714214271425,2.0,3.0
5,metric,section,acc,0.9457629166666667,0.007818196578690989,0.930925,0.9577
5,metric,section,f1,0.9444134368892347,0.00815763349343143,0.92961253177032,0.9568385650224215
5,metric,section,auc,0.9894418692291667,0.002780641626889498,0.98306629875,0.9934368712499999
5,metric,section,positive_rate,0.4761320833333333,0.005803960737552895,0.461975,0.4881
5,metric,section,score_std,0.4370151619262655,0.008922027620122393,0.42546466810349187,0.45316472893335635
5,metric,section,degenerate_prediction,0.0,0.0,0.0,0.0
5,metric,section,mix_at_k,0.06256458333333333,0.003819072017701275,0.05584,0.070065
5,metric,section,silhouette,0.07380124874527257,0.01815955776200821,0.05236187826692238,0.1171711570300041
5,metric,section,js_divergence,0.11788678586013551,0.03849180036671445,0.06397049816122019,0.23417991120241338
5,rank,section,auc_rank,2.0,0.0,2.0,2.0
5,rank,section,acc_rank,1.8833333333333333,0.32102267140430374,1.0,2.0
5,rank,section,mix_at_k_rank,2.3833333333333333,0.6348665651580303,1.0,3.0
5,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
5,rank,section,js_divergence_rank,1.3,0.714142842854285,1.0,3.0
