seed,mix_k,test_week,n_test_samples,n_benign,n_malware,header_acc,header_f1,header_auc,header_positive_rate,header_score_std,header_degenerate_prediction,header_mix_at_k,header_silhouette,header_js_divergence,header_auc_rank,header_acc_rank,header_mix_at_k_rank,header_silhouette_rank,header_js_divergence_rank,section_acc,section_f1,section_auc,section_positive_rate,section_score_std,section_degenerate_prediction,section_mix_at_k,section_silhouette,section_js_divergence,section_auc_rank,section_acc_rank,section_mix_at_k_rank,section_silhouette_rank,section_js_divergence_rank,imports_acc,imports_f1,imports_auc,imports_positive_rate,imports_score_std,imports_degenerate_prediction,imports_mix_at_k,imports_silhouette,imports_js_divergence,imports_auc_rank,imports_acc_rank,imports_mix_at_k_rank,imports_silhouette_rank,imports_js_divergence_rank,strings_acc,strings_f1,strings_auc,strings_positive_rate,strings_score_std,strings_degenerate_prediction,strings_mix_at_k,strings_silhouette,strings_js_divergence,strings_auc_rank,strings_acc_rank,strings_mix_at_k_rank,strings_silhouette_rank,strings_js_divergence_rank,all_acc,all_f1,all_auc,all_positive_rate,all_score_std,all_degenerate_prediction,all_mix_at_k,all_silhouette,all_js_divergence,all_auc_rank,all_acc_rank,all_mix_at_k_rank,all_silhouette_rank,all_js_divergence_rank
77,10,2024-11-10_2024-11-16,40000,20000,20000,0.927975,0.9246068092010572,0.98389308875,0.455325,0.43450940556805706,0.0,0.0811725,0.0944778023319427,0.06930333275007182,3,3,3,1,3,0.94255,0.9407976092333058,0.98885291125,0.4704,0.43300184976320744,0.0,0.08035,0.05925782422266494,0.08273894673687174,2,2,2,2,1,0.870225,0.8553434582694719,0.9301737425,0.397125,0.35931696342974323,0.0,0.195465,0.02430801272805439,0.028929011789930483,5,5,5,5,4,0.907975,0.9048763470036437,0.9742709775000001,0.467425,0.38693803839399493,0.0,0.1011025,0.0472040205264336,0.0004125745616608961,4,4,4,3,5,0.9483,0.9467010309278351,0.9915964037499999,0.47,0.41750210973835505,0.0,0.07888,0.031159083451251915,0.06972351995151524,1,1,1,4,2
77,15,2024-11-10_2024-11-16,40000,20000,20000,0.927975,0.9246068092010572,0.98389308875,0.455325,0.43450940556805706,0.0,0.09027,0.0944778023319427,0.06930333275007182,3,3,2,1,3,0.94255,0.9407976092333058,0.98885291125,0.4704,0.43300184976320744,0.0,0.09053,0.05925782422266494,0.08273894673687174,2,2,3,2,1,0.870225,0.8553434582694719,0.9301737425,0.397125,0.35931696342974323,0.0,0.196075,0.02430801272805439,0.028929011789930483,5,5,5,5,4,0.907975,0.9048763470036437,0.9742709775000001,0.467425,0.38693803839399493,0.0,0.11314166666666667,0.0472040205264336,0.0004125745616608961,4,4,4,3,5,0.9483,0.9467010309278351,0.9915964037499999,0.47,0.41750210973835505,0.0,0.088525,0.031159083451251915,0.06972351995151524,1,1,1,4,2
77,20,2024-11-10_2024-11-16,40000,20000,20000,0.927975,0.9246068092010572,0.98389308875,0.455325,0.43450940556805706,0.0,0.09813375,0.0944778023319427,0.06930333275007182,3,3,2,1,3,0.94255,0.9407976092333058,0.98885291125,0.4704,0.43300184976320744,0.0,0.09863375,0.05925782422266494,0.08273894673687174,2,2,3,2,1,0.870225,0.8553434582694719,0.9301737425,0.397125,0.35931696342974323,0.0,0.199105,0.02430801272805439,0.028929011789930483,5,5,5,5,4,0.907975,0.9048763470036437,0.9742709775000001,0.467425,0.38693803839399493,0.0,0.12149125,0.0472040205264336,0.0004125745616608961,4,4,4,3,5,0.9483,0.9467010309278351,0.9915964037499999,0.47,0.41750210973835505,0.0,0.096555,0.031159083451251915,0.06972351995151524,1,1,1,4,2
77,5,2024-11-17_2024-11-23,40000,20000,20000,0.916875,0.9118434658111727,0.9793744750000001,0.442925,0.431376683795716,0.0,0.06778,0.10449371603900898,0.07837823127865497,3,3,3,1,3,0.93805,0.9357231790827972,0.9873356262499999,0.4638,0.42743138261369573,0.0,0.06467,0.06698672966794186,0.13139215449889607,2,1,2,2,1,0.864625,0.8473486877343331,0.9242962950000001,0.386825,0.36041148926871086,0.0,0.155085,0.021540182272976733,0.02467995709971211,5,5,5,5,4,0.89435,0.8892499606897636,0.9688330924999999,0.45395,0.3772711281065612,0.0,0.084175,0.04439728073147815,0.0008971268362212453,4,4,4,3,5,0.937425,0.9344438333202378,0.98954124625,0.454525,0.41180901220074095,0.0,0.064595,0.03077272431328713,0.07916344483905728,1,2,1,4,2
77,10,2024-11-17_2024-11-23,40000,20000,20000,0.916875,0.9118434658111727,0.9793744750000001,0.442925,0.431376683795716,0.0,0.08318,0.10449371603900898,0.07837823127865497,3,3,3,1,3,0.93805,0.9357231790827972,0.9873356262499999,0.4638,0.42743138261369573,0.0,0.0805975,0.06698672966794186,0.13139215449889607,2,1,2,2,1,0.864625,0.8473486877343331,0.9242962950000001,0.386825,0.36041148926871086,0.0,0.169555,0.021540182272976733,0.02467995709971211,5,5,5,5,4,0.89435,0.8892499606897636,0.9688330924999999,0.45395,0.3772711281065612,0.0,0.1053575,0.04439728073147815,0.0008971268362212453,4,4,4,3,5,0.937425,0.9344438333202378,0.98954124625,0.454525,0.41180901220074095,0.0,0.0800825,0.03077272431328713,0.07916344483905728,1,2,1,4,2
77,15,2024-11-17_2024-11-23,40000,20000,20000,0.916875,0.9118434658111727,0.9793744750000001,0.442925,0.431376683795716,0.0,0.09260333333333333,0.10449371603900898,0.07837823127865497,3,3,3,1,3,0.93805,0.9357231790827972,0.9873356262499999,0.4638,0.42743138261369573,0.0,0.09162666666666666,0.06698672966794186,0.13139215449889607,2,1,2,2,1,0.864625,0.8473486877343331,0.9242962950000001,0.386825,0.36041148926871086,0.0,0.17030833333333334,0.021540182272976733,0.02467995709971211,5,5,5,5,4,0.89435,0.8892499606897636,0.9688330924999999,0.45395,0.3772711281065612,0.0,0.116985,0.04439728073147815,0.0008971268362212453,4,4,4,3,5,0.937425,0.9344438333202378,0.98954124625,0.454525,0.41180901220074095,0.0,0.09086833333333333,0.03077272431328713,0.07916344483905728,1,2,1,4,2
77,20,2024-11-17_2024-11-23,40000,20000,20000,0.916875,0.9118434658111727,0.9793744750000001,0.442925,0.431376683795716,0.0,0.0985475,0.10449371603900898,0.07837823127865497,3,3,1,1,3,0.93805,0.9357231790827972,0.9873356262499999,0.4638,0.42743138261369573,0.0,0.10036875,0.06698672966794186,0.13139215449889607,2,1,3,2,1,0.864625,0.8473486877343331,0.9242962950000001,0.386825,0.36041148926871086,0.0,0.1730125,0.021540182272976733,0.02467995709971211,5,5,5,5,4,0.89435,0.8892499606897636,0.9688330924999999,0.45395,0.3772711281065612,0.0,0.12542375,0.04439728073147815,0.0008971268362212453,4,4,4,3,5,0.937425,0.9344438333202378,0.98954124625,0.454525,0.41180901220074095,0.0,0.0988825,0.03077272431328713,0.07916344483905728,1,2,2,4,2
77,5,2024-11-24_2024-11-30,40000,20000,20000,0.925475,0.9225372242288803,0.9811386374999999,0.462075,0.43111223939159077,0.0,0.063555,0.0906508518005114,0.07025088037092847,3,3,1,1,3,0.94615,0.9446215549156726,0.9883711150000001,0.4724,0.43080904129112046,0.0,0.065315,0.060615791019417796,0.116313069572304,2,2,3,2,1,0.87605,0.8637762391471591,0.937904155,0.4099,0.36852350062061784,0.0,0.146495,0.025373383669056393,0.03429943751440798,5,5,5,4,4,0.898475,0.8941869251413533,0.96785090375,0.459475,0.37664619553977635,0.0,0.08282,0.03271363749042314,0.0002694514729529575,4,4,4,3,5,0.9468,0.9451320132013201,0.9903588999999999,0.4696,0.41320347720813955,0.0,0.06377,0.024498711334162277,0.07079661979837167,1,1,2,5,2
77,10,2024-11-24_2024-11-30,40000,20000,20000,0.925475,0.9225372242288803,0.9811386374999999,0.462075,0.43111223939159077,0.0,0.0805425,0.0906508518005114,0.07025088037092847,3,3,1,1,3,0.94615,0.9446215549156726,0.9883711150000001,0.4724,0.43080904129112046,0.0,0.0834,0.060615791019417796,0.116313069572304,2,2,3,2,1,0.87605,0.8637762391471591,0.937904155,0.4099,0.36852350062061784,0.0,0.1632775,0.025373383669056393,0.03429943751440798,5,5,5,4,4,0.898475,0.8941869251413533,0.96785090375,0.459475,0.37664619553977635,0.0,0.1049175,0.03271363749042314,0.0002694514729529575,4,4,4,3,5,0.9468,0.9451320132013201,0.9903588999999999,0.4696,0.41320347720813955,0.0,0.0808975,0.024498711334162277,0.07079661979837167,1,1,2,5,2
77,15,2024-11-24_2024-11-30,40000,20000,20000,0.925475,0.9225372242288803,0.9811386374999999,0.462075,0.43111223939159077,0.0,0.09072333333333334,0.0906508518005114,0.07025088037092847,3,3,1,1,3,0.94615,0.9446215549156726,0.9883711150000001,0.4724,0.43080904129112046,0.0,0.09381333333333333,0.060615791019417796,0.116313069572304,2,2,3,2,1,0.87605,0.8637762391471591,0.937904155,0.4099,0.36852350062061784,0.0,0.164835,0.025373383669056393,0.03429943751440798,5,5,5,4,4,0.898475,0.8941869251413533,0.96785090375,0.459475,0.37664619553977635,0.0,0.11751666666666667,0.03271363749042314,0.0002694514729529575,4,4,4,3,5,0.9468,0.9451320132013201,0.9903588999999999,0.4696,0.41320347720813955,0.0,0.09132333333333334,0.024498711334162277,0.07079661979837167,1,1,2,5,2
